bin_start_leaf_index	FliJ	FliH	MotE	FliK	FliG
26100	42.0	0.0	0.0	0.0	0.0
26150	13.0	0.0	0.0	0.0	0.0
26200	19.0	0.0	0.0	0.0	2.0
26250	0.0	0.0	0.0	0.0	0.0
26300	0.0	0.0	0.0	0.0	0.0
26350	0.0	0.0	0.0	0.0	0.0
26400	0.0	0.0	0.0	0.0	0.0
26450	0.0	0.0	0.0	0.0	0.0
26500	0.0	0.0	0.0	0.0	0.0
26550	0.0	0.0	0.0	0.0	0.0
26600	0.0	0.0	0.0	0.0	0.0
26650	0.0	0.0	0.0	0.0	0.0
26700	0.0	0.0	0.0	0.0	0.0
26750	0.0	0.0	0.0	0.0	0.0
26800	0.0	0.0	0.0	0.0	0.0
26850	0.0	0.0	0.0	0.0	0.0
26900	0.0	0.0	0.0	0.0	0.0
26950	0.0	0.0	0.0	0.0	0.0
27000	0.0	0.0	0.0	0.0	0.0
27050	0.0	0.0	0.0	0.0	0.0
27100	0.0	0.0	0.0	0.0	0.0
27150	0.0	0.0	0.0	0.0	0.0
27200	0.0	0.0	0.0	0.0	0.0
27250	0.0	0.0	0.0	0.0	0.0
27300	0.0	0.0	0.0	0.0	0.0
27350	0.0	0.0	0.0	0.0	0.0
27400	0.0	0.0	0.0	0.0	0.0
27450	0.0	0.0	4.0	0.0	1.0
27500	0.0	0.0	0.0	0.0	0.0
27550	0.0	0.0	0.0	0.0	0.0
27600	0.0	0.0	0.0	0.0	0.0
27650	0.0	0.0	0.0	0.0	0.0
27700	0.0	0.0	0.0	0.0	0.0
27750	0.0	0.0	0.0	0.0	0.0
27800	0.0	0.0	0.0	0.0	0.0
27850	0.0	0.0	0.0	0.0	0.0
27900	0.0	0.0	0.0	0.0	0.0
27950	0.0	0.0	0.0	0.0	0.0
28000	0.0	0.0	0.0	0.0	0.0
28050	0.0	0.0	0.0	0.0	0.0
28100	0.0	0.0	0.0	0.0	0.0
28150	0.0	0.0	0.0	0.0	0.0
28200	0.0	0.0	0.0	0.0	0.0
28250	0.0	0.0	0.0	0.0	0.0
28300	0.0	0.0	0.0	0.0	0.0
28350	0.0	0.0	0.0	0.0	0.0
28400	0.0	0.0	0.0	0.0	0.0
28450	0.0	0.0	0.0	0.0	0.0
28500	0.0	0.0	0.0	0.0	0.0
28550	0.0	0.0	0.0	0.0	0.0
28600	0.0	0.0	0.0	0.0	0.0
28650	0.0	8.0	2.0	0.0	0.0
28700	16.0	37.0	13.0	0.0	0.0
28750	50.0	48.0	11.0	0.0	1.0
28800	46.0	48.0	3.0	0.0	1.0
28850	48.0	50.0	10.0	0.0	0.0
28900	50.0	48.0	14.0	0.0	5.0
28950	48.0	48.0	3.0	0.0	7.0
29000	48.0	49.0	11.0	0.0	7.0
29050	46.0	49.0	9.0	0.0	14.0
29100	45.0	44.0	13.0	0.0	5.0
29150	43.0	47.0	1.0	8.0	3.0
29200	48.0	44.0	0.0	3.0	47.0
29250	49.0	50.0	0.0	0.0	50.0
29300	50.0	49.0	0.0	2.0	41.0
29350	44.0	50.0	0.0	0.0	25.0
29400	43.0	50.0	0.0	0.0	41.0
29450	50.0	48.0	0.0	2.0	25.0
29500	49.0	47.0	0.0	18.0	19.0
29550	50.0	44.0	0.0	18.0	25.0
29600	50.0	50.0	0.0	0.0	50.0
29650	50.0	50.0	0.0	10.0	48.0
29700	50.0	49.0	0.0	0.0	1.0
29750	50.0	49.0	0.0	1.0	42.0
29800	49.0	48.0	0.0	0.0	44.0
29850	50.0	48.0	0.0	8.0	26.0
29900	50.0	50.0	0.0	33.0	37.0
29950	48.0	46.0	0.0	16.0	25.0
30000	47.0	50.0	0.0	3.0	20.0
30050	50.0	49.0	0.0	0.0	25.0
