taxon	present_in
JAFGAV01	gtdb_only
JAFGBC01	gtdb_only
JAFGCJ01	gtdb_only
JAFGCO01	gtdb_only
JAFGDW01	gtdb_only
JAFGEY01	gtdb_only
JAFGHF01	gtdb_only
JAFGHS01	gtdb_only
JAFGIB01	gtdb_only
JAFGIL01	gtdb_only
JAFGJC01	gtdb_only
JAFGJP01	gtdb_only
JAFGJU01	gtdb_only
JAFGKM01	gtdb_only
JAFGKX01	gtdb_only
JAFGLR01	gtdb_only
JAFGLY01	gtdb_only
JAFGMA01	gtdb_only
JAFGMB01	gtdb_only
JAFGOL01	gtdb_only
JAFGQG01	gtdb_only
JAFGRS01	gtdb_only
JAFGVF01	gtdb_only
JAFGXH01	gtdb_only
JAFGXI01	gtdb_only
JAGDMS01	gtdb_only
JAGGSF01	gtdb_only
JAGGXC01	gtdb_only
JAGLHV01	gtdb_only
JAGLIN01	gtdb_only
JAGLOF01	gtdb_only
JAGLOS01	gtdb_only
JAGMAN01	gtdb_only
JAGMDC01	gtdb_only
JAGNEX01	gtdb_only
JAGNHN01	gtdb_only
JAGNIJ01	gtdb_only
JAGNNV01	gtdb_only
JAGOAT01	gtdb_only
JAGODF01	gtdb_only
JAGOMX01	gtdb_only
JAGONC01	gtdb_only
JAGOOR01	gtdb_only
JAGOPM01	gtdb_only
JAGOPY01	gtdb_only
JAGOQP01	gtdb_only
JAGOSM01	gtdb_only
JAGOUK01	gtdb_only
JAGOUN01	gtdb_only
JAGOZY01	gtdb_only
JAGPKW01	gtdb_only
JAGQNJ01	gtdb_only
JAGRMV01	gtdb_only
JAGROB01	gtdb_only
JAGVGV01	gtdb_only
JAGVLN01	gtdb_only
JAGWBF01	gtdb_only
JAGXLC01	gtdb_only
JAGXOH01	gtdb_only
JAHCRE01	gtdb_only
JAHDBA01	gtdb_only
JAHDCA01	gtdb_only
JAHDSC01	gtdb_only
JAHEDJ01	gtdb_only
JAHEIH01	gtdb_only
JAHEKZ01	gtdb_only
JAHELV01	gtdb_only
JAHFDB01	gtdb_only
JAHFFX01	gtdb_only
JAHIHE01	gtdb_only
JAHIPI01	gtdb_only
JAHIRA01	gtdb_only
JAHISY01	gtdb_only
JAHIVN01	gtdb_only
JAHIVO01	gtdb_only
JAHJCI01	gtdb_only
JAHJDO01	gtdb_only
JAHJRV01	gtdb_only
JAHJTE01	gtdb_only
JAHKAQ01	gtdb_only
JAHLLQ01	gtdb_only
JAHWKO01	gtdb_only
JAHWKV01	gtdb_only
JAIBCM01	gtdb_only
JAIFNL01	gtdb_only
JAILCC01	gtdb_only
JAILZS01	gtdb_only
JAIMBI01	gtdb_only
JAIOQZ01	gtdb_only
JAIOZK01	gtdb_only
JAIPAH01	gtdb_only
JAIQFV01	gtdb_only
JAIQGF01	gtdb_only
JAJBBL01	gtdb_only
JAJDTQ01	gtdb_only
JAJDUF01	gtdb_only
JAJDZL01	gtdb_only
JAJFFE01	gtdb_only
JAJFHB01	gtdb_only
JAJFHR01	gtdb_only
JAJFIE01	gtdb_only
JAJFIK01	gtdb_only
JAJFKG01	gtdb_only
JAJFMG01	gtdb_only
JAJFMK01	gtdb_only
JAJRVZ01	gtdb_only
JAJRXT01	gtdb_only
JAJRYD01	gtdb_only
JAJTHC01	gtdb_only
JAJTIE01	gtdb_only
JAJVHW01	gtdb_only
JAJXUE01	gtdb_only
JAJYID01	gtdb_only
JAJYXR01	gtdb_only
JAJZLH01	gtdb_only
JAJZLI01	gtdb_only
JAJZXF01	gtdb_only
JAKAJF01	gtdb_only
JAKAOS01	gtdb_only
JAKAPL01	gtdb_only
JAKAQQ01	gtdb_only
JAKAVM01	gtdb_only
JAKAZS01	gtdb_only
JAKBAR01	gtdb_only
JAKBBU01	gtdb_only
JAKIUO01	gtdb_only
JAKLFG01	gtdb_only
JAKLIH01	gtdb_only
JALEGO01	gtdb_only
JAMCPL01	gtdb_only
JAMCPX01	gtdb_only
JAMCQF01	gtdb_only
JAMCWF01	gtdb_only
JAMCYS01	gtdb_only
JAMCZE01	gtdb_only
JAMLIO01	gtdb_only
JAMWCP01	gtdb_only
JANBVM01	gtdb_only
JANLFM01	gtdb_only
JANLHA01	gtdb_only
JANWVE01	gtdb_only
JGIOTU-2	gtdb_only
Jatrophihabitantaceae	gtdb_only
JdFR-80	gtdb_only
JdFR-86	gtdb_only
Jiangellaceae	gtdb_only
KCTC-12870	gtdb_only
KS3-K002	gtdb_only
Kaistiaceae	gtdb_only
Kapabacteriaceae	gtdb_only
Kazan-3B-28	gtdb_only
Kineosporiaceae	gtdb_only
Kosmotogaceae	gtdb_only
Kribbellaceae	gtdb_only
Ktedonobacteraceae	gtdb_only
LBFQ01	gtdb_only
LD1	gtdb_only
LLD-282	gtdb_only
LOWO2-01-FULL-3	gtdb_only
LS-SOB	gtdb_only
LV9	gtdb_only
Labraceae	gtdb_only
Lenti-01	gtdb_only
Lenti-02	gtdb_only
